▲ Next.js 16.2.3 (webpack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
✓ Ready in 374ms

○ Compiling / ...
 GET / 200 in 46ms (next.js: 1503µs, application-code: 45ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 37ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET / 200 in 34ms (next.js: 3ms, application-code: 32ms)
 GET / 200 in 41ms (next.js: 2ms, application-code: 39ms)
 GET / 200 in 40ms (next.js: 3ms, application-code: 37ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 38ms (next.js: 2ms, application-code: 35ms)
 GET / 200 in 45ms (next.js: 2ms, application-code: 43ms)
 GET / 200 in 36ms (next.js: 1737µs, application-code: 34ms)
 GET / 200 in 32ms (next.js: 1897µs, application-code: 30ms)
 GET / 200 in 34ms (next.js: 1369µs, application-code: 33ms)
 GET / 200 in 41ms (next.js: 1828µs, application-code: 39ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET / 200 in 40ms (next.js: 1637µs, application-code: 39ms)
 GET / 200 in 36ms (next.js: 3ms, application-code: 33ms)
 GET / 200 in 39ms (next.js: 1739µs, application-code: 37ms)
 GET / 200 in 34ms (next.js: 1263µs, application-code: 32ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 36ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 33ms (next.js: 1251µs, application-code: 31ms)
 GET / 200 in 34ms (next.js: 2ms, application-code: 31ms)
 GET / 200 in 41ms (next.js: 3ms, application-code: 38ms)
 GET / 200 in 45ms (next.js: 2ms, application-code: 43ms)
 GET / 200 in 32ms (next.js: 1254µs, application-code: 30ms)
 GET / 200 in 36ms (next.js: 1802µs, application-code: 35ms)
 GET / 200 in 37ms (next.js: 3ms, application-code: 34ms)
 GET / 200 in 46ms (next.js: 3ms, application-code: 44ms)
 GET / 200 in 41ms (next.js: 2ms, application-code: 38ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 95ms (next.js: 1904µs, application-code: 93ms)
 GET / 200 in 124ms (next.js: 2ms, application-code: 121ms)
 GET / 200 in 52ms (next.js: 1925µs, application-code: 50ms)
 GET / 200 in 45ms (next.js: 3ms, application-code: 43ms)
 GET / 200 in 41ms (next.js: 1798µs, application-code: 39ms)
 GET / 200 in 46ms (next.js: 1644µs, application-code: 44ms)
 GET / 200 in 44ms (next.js: 1742µs, application-code: 42ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 47ms (next.js: 2ms, application-code: 45ms)
 GET / 200 in 37ms (next.js: 2ms, application-code: 35ms)
 GET / 200 in 56ms (next.js: 1867µs, application-code: 54ms)
 GET / 200 in 45ms (next.js: 3ms, application-code: 42ms)
 GET / 200 in 41ms (next.js: 1808µs, application-code: 39ms)
 GET / 200 in 39ms (next.js: 1352µs, application-code: 37ms)
 GET / 200 in 41ms (next.js: 2ms, application-code: 39ms)
 GET / 200 in 44ms (next.js: 1737µs, application-code: 42ms)
 GET / 200 in 40ms (next.js: 1763µs, application-code: 39ms)
 GET / 200 in 36ms (next.js: 3ms, application-code: 33ms)
 GET / 200 in 34ms (next.js: 2ms, application-code: 32ms)
 GET / 200 in 38ms (next.js: 1843µs, application-code: 36ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 42ms)
 GET / 200 in 33ms (next.js: 1525µs, application-code: 32ms)
 GET / 200 in 43ms (next.js: 4ms, application-code: 39ms)
 GET / 200 in 40ms (next.js: 3ms, application-code: 37ms)
 GET / 200 in 34ms (next.js: 3ms, application-code: 31ms)
 GET / 200 in 140ms (next.js: 3ms, application-code: 137ms)
 GET / 200 in 40ms (next.js: 2ms, application-code: 37ms)
 GET / 200 in 39ms (next.js: 1211µs, application-code: 38ms)
 GET / 200 in 50ms (next.js: 3ms, application-code: 47ms)
 GET / 200 in 45ms (next.js: 2ms, application-code: 42ms)
 GET / 200 in 43ms (next.js: 1485µs, application-code: 41ms)
 GET / 200 in 41ms (next.js: 1645µs, application-code: 40ms)
 GET / 200 in 44ms (next.js: 1905µs, application-code: 42ms)
 GET / 200 in 41ms (next.js: 3ms, application-code: 38ms)
 GET / 200 in 42ms (next.js: 1690µs, application-code: 40ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 40ms (next.js: 1255µs, application-code: 39ms)
 GET / 200 in 47ms (next.js: 1324µs, application-code: 46ms)
 GET / 200 in 39ms (next.js: 3ms, application-code: 36ms)
 GET / 200 in 45ms (next.js: 1687µs, application-code: 44ms)
 GET / 200 in 36ms (next.js: 1585µs, application-code: 34ms)
 GET / 200 in 40ms (next.js: 3ms, application-code: 37ms)
 GET / 200 in 42ms (next.js: 2ms, application-code: 40ms)
 GET / 200 in 41ms (next.js: 3ms, application-code: 38ms)
 GET / 200 in 28ms (next.js: 1388µs, application-code: 27ms)
 GET / 200 in 32ms (next.js: 1194µs, application-code: 31ms)
 GET / 200 in 32ms (next.js: 1211µs, application-code: 31ms)
 GET / 200 in 38ms (next.js: 2ms, application-code: 36ms)
 GET / 200 in 35ms (next.js: 2ms, application-code: 33ms)
 GET / 200 in 28ms (next.js: 1364µs, application-code: 26ms)
 GET / 200 in 38ms (next.js: 2ms, application-code: 36ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 36ms)
 GET / 200 in 45ms (next.js: 3ms, application-code: 42ms)
 GET / 200 in 43ms (next.js: 1273µs, application-code: 42ms)
 GET / 200 in 41ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 43ms (next.js: 2ms, application-code: 41ms)
 GET / 200 in 37ms (next.js: 3ms, application-code: 34ms)
 GET / 200 in 32ms (next.js: 3ms, application-code: 29ms)
 GET / 200 in 26ms (next.js: 1559µs, application-code: 24ms)
 GET / 200 in 33ms (next.js: 2ms, application-code: 31ms)
 GET / 200 in 34ms (next.js: 1244µs, application-code: 33ms)
 GET / 200 in 35ms (next.js: 1401µs, application-code: 34ms)
 GET / 200 in 41ms (next.js: 3ms, application-code: 38ms)
 GET / 200 in 45ms (next.js: 2ms, application-code: 43ms)
 GET / 200 in 36ms (next.js: 2ms, application-code: 33ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 37ms)
 GET / 200 in 42ms (next.js: 2ms, application-code: 40ms)
 GET / 200 in 41ms (next.js: 1943µs, application-code: 39ms)
 GET / 200 in 43ms (next.js: 2ms, application-code: 40ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET / 200 in 34ms (next.js: 2ms, application-code: 31ms)
 GET / 200 in 43ms (next.js: 1943µs, application-code: 41ms)
 GET / 200 in 40ms (next.js: 3ms, application-code: 38ms)
 GET / 200 in 38ms (next.js: 1309µs, application-code: 37ms)
 GET / 200 in 36ms (next.js: 2ms, application-code: 34ms)
 GET / 200 in 37ms (next.js: 2ms, application-code: 35ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 79ms (next.js: 2ms, application-code: 77ms)
 GET / 200 in 32ms (next.js: 1193µs, application-code: 31ms)
 GET / 200 in 40ms (next.js: 2ms, application-code: 37ms)
 GET / 200 in 51ms (next.js: 3ms, application-code: 48ms)
 GET / 200 in 35ms (next.js: 1626µs, application-code: 33ms)
 GET / 200 in 39ms (next.js: 1968µs, application-code: 37ms)
 GET / 200 in 37ms (next.js: 2ms, application-code: 35ms)
 GET / 200 in 37ms (next.js: 1224µs, application-code: 36ms)
 GET / 200 in 47ms (next.js: 1959µs, application-code: 45ms)
 GET / 200 in 33ms (next.js: 2ms, application-code: 30ms)
 GET / 200 in 40ms (next.js: 1978µs, application-code: 38ms)
 GET / 200 in 41ms (next.js: 1793µs, application-code: 39ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 42ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 42ms)
 GET / 200 in 48ms (next.js: 3ms, application-code: 46ms)
 GET / 200 in 41ms (next.js: 1558µs, application-code: 39ms)
 GET / 200 in 38ms (next.js: 1523µs, application-code: 36ms)
 GET / 200 in 42ms (next.js: 1796µs, application-code: 40ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 37ms)
 GET / 200 in 38ms (next.js: 2ms, application-code: 36ms)
 GET / 200 in 40ms (next.js: 3ms, application-code: 37ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 37ms (next.js: 2ms, application-code: 35ms)
 GET / 200 in 30ms (next.js: 1289µs, application-code: 29ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET / 200 in 42ms (next.js: 2ms, application-code: 40ms)
 GET / 200 in 35ms (next.js: 2ms, application-code: 33ms)
 GET / 200 in 36ms (next.js: 1549µs, application-code: 34ms)
 GET / 200 in 27ms (next.js: 1319µs, application-code: 26ms)
 GET / 200 in 37ms (next.js: 1413µs, application-code: 36ms)
 GET / 200 in 35ms (next.js: 1284µs, application-code: 33ms)
 GET / 200 in 43ms (next.js: 1971µs, application-code: 41ms)
 GET / 200 in 35ms (next.js: 2ms, application-code: 33ms)
 GET / 200 in 41ms (next.js: 2ms, application-code: 39ms)
 GET / 200 in 46ms (next.js: 2ms, application-code: 44ms)
 GET / 200 in 48ms (next.js: 3ms, application-code: 45ms)
 GET / 200 in 51ms (next.js: 3ms, application-code: 48ms)
 GET / 200 in 33ms (next.js: 2ms, application-code: 31ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 38ms (next.js: 2ms, application-code: 36ms)
 GET / 200 in 40ms (next.js: 3ms, application-code: 37ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 42ms)
 GET / 200 in 38ms (next.js: 2ms, application-code: 35ms)
 GET / 200 in 44ms (next.js: 1836µs, application-code: 43ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 42ms)
 GET / 200 in 39ms (next.js: 1612µs, application-code: 37ms)
 GET / 200 in 36ms (next.js: 1998µs, application-code: 34ms)
 GET / 200 in 40ms (next.js: 1811µs, application-code: 38ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 41ms (next.js: 2ms, application-code: 39ms)
 GET / 200 in 35ms (next.js: 1205µs, application-code: 34ms)
 GET / 200 in 41ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 40ms (next.js: 2ms, application-code: 38ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 36ms)
 GET / 200 in 43ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 34ms (next.js: 1207µs, application-code: 32ms)
 GET / 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 37ms (next.js: 1883µs, application-code: 36ms)
 GET / 200 in 46ms (next.js: 3ms, application-code: 44ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 36ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 46ms (next.js: 1589µs, application-code: 44ms)
 GET / 200 in 44ms (next.js: 4ms, application-code: 41ms)
 GET / 200 in 31ms (next.js: 3ms, application-code: 28ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 41ms)
 GET / 200 in 43ms (next.js: 1611µs, application-code: 42ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 37ms)
 GET / 200 in 45ms (next.js: 3ms, application-code: 42ms)
 GET / 200 in 35ms (next.js: 1277µs, application-code: 34ms)
 GET / 200 in 36ms (next.js: 1251µs, application-code: 35ms)
 GET / 200 in 36ms (next.js: 1230µs, application-code: 35ms)
 GET / 200 in 36ms (next.js: 1645µs, application-code: 34ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 46ms (next.js: 2ms, application-code: 44ms)
 GET / 200 in 45ms (next.js: 3ms, application-code: 42ms)
